Block,Weight,WeightFactor,HybridEnergy,ENumer,EDenom,ETotal,E1Body,E2Body
96,9.9985444874271161e+02,9.9998860208022802e+02,-4.2914402632525234e-01,-1.1305700018107325e+03,9.9985444874271161e+02,-1.1307345816507512e+00,-1.7657888081789519e+00,6.3505422652820054e-01
97,9.9992272920870641e+02,9.9998860208022802e+02,-4.4357140875544232e-01,-1.1307806770305040e+03,9.9992272920870641e+02,-1.1308680601003567e+00,-1.7657888081789519e+00,6.3492074807859522e-01
98,9.9984347104129802e+02,9.9998860208022802e+02,-4.2866413534861297e-01,-1.1306828991360526e+03,9.9984347104129802e+02,-1.1308599114604314e+00,-1.7657888081789521e+00,6.3492889671852060e-01
99,9.9993413195135349e+02,9.9998860208022802e+02,-4.4770327226783557e-01,-1.1310152699927676e+03,9.9993413195135349e+02,-1.1310897726689373e+00,-1.7657888081789517e+00,6.3469903551001439e-01
100,1.0000000000000001e+03,9.9988513741441659e+02,-4.3885453752015430e-01,-1.1311682529909376e+03,1.0000000000000001e+03,-1.1311682529909375e+00,-1.7657888081789519e+00,6.3462055518801441e-01
101,9.9998083978110765e+02,9.9988513741441659e+02,-4.3617871983141510e-01,-1.1310911630299315e+03,9.9998083978110765e+02,-1.1311128353994497e+00,-1.7657888081789521e+00,6.3467597277950238e-01
102,1.0000270338894672e+03,9.9988513741441659e+02,-4.4629238632446760e-01,-1.1314772256094436e+03,1.0000270338894672e+03,-1.1314466382060884e+00,-1.7657888081789519e+00,6.3434216997286352e-01
103,1.0000751171673251e+03,9.9988513741441659e+02,-4.5705127337888579e-01,-1.1317632703166141e+03,1.0000751171673251e+03,-1.1316782618512606e+00,-1.7657888081789521e+00,6.3411054632769159e-01
104,1.0000453807992569e+03,9.9988513741441659e+02,-4.5233055264388483e-01,-1.1315640470112323e+03,1.0000453807992569e+03,-1.1315126980606249e+00,-1.7657888081789521e+00,6.3427611011832696e-01
105,1.0000000000000000e+03,9.9993984850554637e+02,-4.3259188468946547e-01,-1.1314844500770366e+03,1.0000000000000000e+03,-1.1314844500770367e+00,-1.7657888081789515e+00,6.3430435810191510e-01
106,1.0000185519130860e+03,9.9993984850554637e+02,-4.3809396142723778e-01,-1.1319724604950497e+03,1.0000185519130860e+03,-1.1319514606299346e+00,-1.7657888081789519e+00,6.3383734754901744e-01
107,1.0000323104059744e+03,9.9993984850554637e+02,-4.4255606418229115e-01,-1.1324411116899296e+03,1.0000323104059744e+03,-1.1324045232400564e+00,-1.7657888081789519e+00,6.3338428493889531e-01
108,1.0000725592950050e+03,9.9993984850554637e+02,-4.5158959100285129e-01,-1.1330107700878657e+03,1.0000725592950050e+03,-1.1329285655898556e+00,-1.7657888081789517e+00,6.3286024258909634e-01
109,9.9992343148042755e+02,9.9993984850554637e+02,-4.2334777358836723e-01,-1.1330919413679408e+03,9.9992343148042755e+02,-1.1331787071839610e+00,-1.7657888081789523e+00,6.3261010099499115e-01
110,1.0000000000000000e+03,1.0000914287798637e+03,-4.5786999424073321e-01,-1.1330157384983083e+03,1.0000000000000000e+03,-1.1330157384983084e+00,-1.7657888081789519e+00,6.3277306968064340e-01
111,9.9999817465471881e+02,1.0000914287798637e+03,-4.5866700413491046e-01,-1.1328450942956831e+03,9.9999817465471881e+02,-1.1328471621329048e+00,-1.7657888081789521e+00,6.3294164604604719e-01
112,9.9997968794758049e+02,1.0000914287798637e+03,-4.5595535137275250e-01,-1.1327085307545999e+03,9.9997968794758049e+02,-1.1327315388569943e+00,-1.7657888081789517e+00,6.3305726932195716e-01
113,9.9986132191328579e+02,1.0000914287798637e+03,-4.3345834297158958e-01,-1.1329401717738160e+03,9.9986132191328579e+02,-1.1330973075404867e+00,-1.7657888081789521e+00,6.3269150063846502e-01
114,9.9996752619640120e+02,1.0000914287798637e+03,-4.5563953626970494e-01,-1.1330416148883623e+03,9.9996752619640120e+02,-1.1330784102541192e+00,-1.7657888081789519e+00,6.3271039792483275e-01
115,9.9999999999999989e+02,9.9986692333115820e+02,-4.3680317116988954e-01,-1.1324478919471505e+03,9.9999999999999989e+02,-1.1324478919471506e+00,-1.7657888081789515e+00,6.3334091623180122e-01
116,1.0000757201879205e+03,9.9986692333115820e+02,-4.5309973983796831e-01,-1.1325062884559943e+03,1.0000757201879205e+03,-1.1324205413597974e+00,-1.7657888081789517e+00,6.3336826681915448e-01
117,1.0001424114634026e+03,9.9986692333115820e+02,-4.6739908230349642e-01,-1.1325870440371591e+03,1.0001424114634026e+03,-1.1324257736255423e+00,-1.7657888081789521e+00,6.3336303455340959e-01
118,1.0000123197276655e+03,9.9986692333115820e+02,-4.4257665413225145e-01,-1.1326381042765911e+03,1.0000123197276655e+03,-1.1326241506555075e+00,-1.7657888081789517e+00,6.3316465752344431e-01
119,1.0000360979405555e+03,9.9986692333115820e+02,-4.4834159070902069e-01,-1.1330244293237461e+03,1.0000360979405555e+03,-1.1329835309515954e+00,-1.7657888081789519e+00,6.3280527722735624e-01
120,1.0000000000000000e+03,1.0000786473186051e+03,-4.5826656580043679e-01,-1.1330062630546968e+03,1.0000000000000000e+03,-1.1330062630546969e+00,-1.7657888081789519e+00,6.3278254512425525e-01
121,9.9996643858132529e+02,1.0000786473186051e+03,-4.5284123571472190e-01,-1.1326464380549055e+03,9.9996643858132529e+02,-1.1326844525520439e+00,-1.7657888081789519e+00,6.3310435562690803e-01
122,9.9992609036441877e+02,1.0000786473186051e+03,-4.4633692256635538e-01,-1.1319659394306946e+03,9.9992609036441877e+02,-1.1320496088047411e+00,-1.7657888081789517e+00,6.3373919937421075e-01
123,9.9983734473670359e+02,1.0000786473186051e+03,-4.2980727261489060e-01,-1.1318336837431466e+03,9.9983734473670359e+02,-1.1320178123984785e+00,-1.7657888081789519e+00,6.3377099578047358e-01
124,9.9994924365105533e+02,1.0000786473186051e+03,-4.5309396577569760e-01,-1.1321591238773517e+03,9.9994924365105533e+02,-1.1322165910577284e+00,-1.7657888081789519e+00,6.3357221712122358e-01
125,1.0000000000000000e+03,9.9982335740199483e+02,-4.2935545886569626e-01,-1.1324971111367236e+03,1.0000000000000000e+03,-1.1324971111367237e+00,-1.7657888081789519e+00,6.3329169704222843e-01
126,9.9999851624098039e+02,9.9982335740199483e+02,-4.3054790539945326e-01,-1.1328547048188525e+03,9.9999851624098039e+02,-1.1328563857047327e+00,-1.7657888081789517e+00,6.3293242247421910e-01
127,1.0001117712689997e+03,9.9982335740199483e+02,-4.5423880154170981e-01,-1.1326118340783783e+03,1.0001117712689997e+03,-1.1324852547643298e+00,-1.7657888081789521e+00,6.3330355341462230e-01
128,1.0000338396602207e+03,9.9982335740199483e+02,-4.3995536545558067e-01,-1.1327765429613146e+03,1.0000338396602207e+03,-1.1327382114851190e+00,-1.7657888081789515e+00,6.3305059669383257e-01
129,1.0001283382591223e+03,9.9982335740199483e+02,-4.5986817426512572e-01,-1.1326367484242580e+03,1.0001283382591223e+03,-1.1324914064486835e+00,-1.7657888081789519e+00,6.3329740173026827e-01
130,1.0000000000000000e+03,1.0000736365878026e+03,-4.5003705909174047e-01,-1.1327399449364600e+03,1.0000000000000000e+03,-1.1327399449364601e+00,-1.7657888081789519e+00,6.3304886324249199e-01
131,1.0000274806577172e+03,1.0000736365878026e+03,-4.5654884745591712e-01,-1.1326549117776913e+03,1.0000274806577172e+03,-1.1326237865310913e+00,-1.7657888081789519e+00,6.3316502164786082e-01
132,1.0000876771238020e+03,1.0000736365878026e+03,-4.6965728753398039e-01,-1.1324892353453042e+03,1.0000876771238020e+03,-1.1323899506514088e+00,-1.7657888081789519e+00,6.3339885752754299e-01
133,9.9997553342795675e+02,1.0000736365878026e+03,-4.4846452140085297e-01,-1.1326903953759559e+03,9.9997553342795675e+02,-1.1327181091051770e+00,-1.7657888081789517e+00,6.3307069907377489e-01
134,9.9994600032328708e+02,1.0000736365878026e+03,-4.4432561987365859e-01,-1.1324883833927597e+03,9.9994600032328708e+02,-1.1325495407018189e+00,-1.7657888081789517e+00,6.3323926747713277e-01
